train_loss,val_loss,lr,mask_val_loss,regr_val_loss
9.9945545,-1.0,0.001,-1.0,-1.0
3.3684602,-1.0,0.001,-1.0,-1.0
6.7932487,-1.0,0.001,-1.0,-1.0
4.5248303,-1.0,0.001,-1.0,-1.0
6.200416,-1.0,0.001,-1.0,-1.0
7.3040867,-1.0,0.001,-1.0,-1.0
5.7186046,-1.0,0.001,-1.0,-1.0
4.183999,-1.0,0.001,-1.0,-1.0
3.7110841,-1.0,0.001,-1.0,-1.0
8.294892,-1.0,0.001,-1.0,-1.0
5.128943,-1.0,0.001,-1.0,-1.0
3.113566,-1.0,0.001,-1.0,-1.0
7.3986707,-1.0,0.001,-1.0,-1.0
4.269817,-1.0,0.001,-1.0,-1.0
8.04631,-1.0,0.001,-1.0,-1.0
4.1743956,-1.0,0.001,-1.0,-1.0
7.0578394,-1.0,0.001,-1.0,-1.0
4.806801,-1.0,0.001,-1.0,-1.0
3.3968174,-1.0,0.001,-1.0,-1.0
6.1499534,-1.0,0.001,-1.0,-1.0
7.7610006,-1.0,0.001,-1.0,-1.0
6.878645,-1.0,0.001,-1.0,-1.0
4.206614,-1.0,0.001,-1.0,-1.0
3.4988973,-1.0,0.001,-1.0,-1.0
5.5934086,-1.0,0.001,-1.0,-1.0
5.686712,-1.0,0.001,-1.0,-1.0
5.142186,-1.0,0.001,-1.0,-1.0
5.7446675,-1.0,0.001,-1.0,-1.0
5.1074286,-1.0,0.001,-1.0,-1.0
7.0671134,-1.0,0.001,-1.0,-1.0
4.2231436,-1.0,0.001,-1.0,-1.0
7.144972,-1.0,0.001,-1.0,-1.0
6.0751266,-1.0,0.001,-1.0,-1.0
5.64394,-1.0,0.001,-1.0,-1.0
6.3704906,-1.0,0.001,-1.0,-1.0
7.641028,-1.0,0.001,-1.0,-1.0
5.031031,-1.0,0.001,-1.0,-1.0
3.2568707,-1.0,0.001,-1.0,-1.0
8.740727,-1.0,0.001,-1.0,-1.0
6.8085837,-1.0,0.001,-1.0,-1.0
7.8455696,-1.0,0.001,-1.0,-1.0
4.7348437,-1.0,0.001,-1.0,-1.0
3.9273856,-1.0,0.001,-1.0,-1.0
4.2867365,-1.0,0.001,-1.0,-1.0
4.6896033,-1.0,0.001,-1.0,-1.0
6.4746213,-1.0,0.001,-1.0,-1.0
4.2285852,-1.0,0.001,-1.0,-1.0
7.1109953,-1.0,0.001,-1.0,-1.0
5.4443064,-1.0,0.001,-1.0,-1.0
9.31403,-1.0,0.001,-1.0,-1.0
4.0852304,-1.0,0.001,-1.0,-1.0
5.9096994,-1.0,0.001,-1.0,-1.0
7.082242,-1.0,0.001,-1.0,-1.0
12.158274,-1.0,0.001,-1.0,-1.0
6.2744927,-1.0,0.001,-1.0,-1.0
5.9397597,-1.0,0.001,-1.0,-1.0
3.9836059,-1.0,0.001,-1.0,-1.0
3.907468,-1.0,0.001,-1.0,-1.0
4.6797786,-1.0,0.001,-1.0,-1.0
